subid,list
Test,2
Test,2
Test,2
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-01-sc,1
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-02-sc,2
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-03-sc,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-04,1
150109-05,2
150109-05,2
150109-05,2
150109-05,2
150109-05,2
150109-05,2
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-06,1
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-07,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150109-08,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-01-sc,2
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-02-sc,1
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-03-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-04-sc,2
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-05-sc,1
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-06-sc,2
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
150115-07-sc,1
Test,2
Test,2
Test,2
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-01-sc,1
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-02-sc,2
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-03-sc,1
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-04-sc,2
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-05-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-07-sc,1
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-08-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-09-sc,2
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-10-sc,1
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-11-sc,2
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-12-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-13-sc,1
150116-14-sc,2
